course.year,course.grade,Gender,Racially_Minoritized,First_Generation,course,course.quarter
2005,NA,0,0,0,CLASS.110,4
2001,NA,0,1,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2001,NA,0,0,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,0,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,0,NA,0,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2004,NA,0,1,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2001,NA,1,1,1,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2003,NA,0,1,1,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2004,NA,0,NA,1,CLASS.110,4
2009,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,NA,0,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2004,NA,1,1,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,1,1,CLASS.110,4
2002,NA,1,NA,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2001,NA,1,1,1,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,0,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,1,1,CLASS.110,4
2001,NA,0,1,1,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,1,1,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2002,NA,1,NA,0,CLASS.110,4
2001,NA,0,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,1,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2001,NA,0,1,1,CLASS.110,4
2003,NA,0,1,1,CLASS.110,4
2001,NA,0,NA,1,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,0,1,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2004,NA,1,0,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,1,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2005,NA,1,1,1,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2001,NA,1,NA,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2001,NA,1,1,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,0,0,1,CLASS.110,4
2003,NA,1,NA,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2006,NA,1,0,0,CLASS.110,4
2002,NA,1,NA,1,CLASS.110,4
2001,NA,1,0,0,CLASS.110,4
2001,NA,0,1,0,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2001,NA,0,0,0,CLASS.110,4
2004,NA,0,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,1,1,1,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,1,1,1,CLASS.110,4
2003,NA,0,0,1,CLASS.110,4
2007,NA,1,1,0,CLASS.110,4
2003,NA,0,0,1,CLASS.110,4
2003,NA,0,0,1,CLASS.110,4
2003,NA,1,1,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2004,NA,0,0,0,CLASS.110,4
2008,NA,0,0,0,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2003,NA,1,1,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2003,NA,1,NA,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2003,NA,1,NA,0,CLASS.110,4
2002,NA,1,NA,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2005,NA,0,0,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,1,1,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,1,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,1,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,1,NA,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2005,NA,0,0,1,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,1,0,1,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2003,NA,1,1,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2003,NA,0,NA,0,CLASS.110,4
2002,NA,0,0,1,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2003,NA,0,1,0,CLASS.110,4
2002,NA,0,1,1,CLASS.110,4
2002,NA,0,1,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,1,1,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2003,NA,1,0,1,CLASS.110,4
2003,NA,0,1,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2003,NA,1,1,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,NA,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2005,NA,1,0,0,CLASS.110,4
2002,NA,1,0,0,CLASS.110,4
2002,NA,0,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2004,NA,1,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2003,NA,0,0,0,CLASS.110,4
2003,NA,1,0,1,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
2003,NA,1,0,0,CLASS.110,4
